Global frequency set at 1000000000000 ticks per second
      0: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffed0.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.1.0.0
gem5 compiled Feb 22 2023 20:08:12
gem5 started Mar 15 2023 10:59:34
gem5 executing on rp09, pid 843937
command line: build/RISCV/gem5.opt --debug-flags=Registers configs/tutorial/two_level.py

64
Beginning simulation!
7156000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x58.
7156000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x57.
7160000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x68.
7160000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x2f.
7162000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x57.
7162000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x57.
7166000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x57.
7166000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1.
7168000: system.cpu.[tid:0]: Reading integer reg integer[12] (12) as 0x7fffffffffffed46.
7168000: system.cpu.[tid:0]: Setting integer register integer[12] (12) to 0x7fffffffffffed45.
7172000: system.cpu.[tid:0]: Reading integer reg integer[12] (12) as 0x7fffffffffffed45.
7174000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x2f.
7178000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x57.
7178000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x56.
7182000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x2f.
7182000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x2f.
7235000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x57.
7235000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x58.
7241000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x4257c.
7328000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
7381000: system.cpu.[tid:0]: Setting integer register integer[6] (6) to 0x1e1d8.
7385000: system.cpu.[tid:0]: Reading integer reg integer[6] (6) as 0x1e1d8.
7438000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x4257c.
7438000: system.cpu.[tid:0]: Setting integer register integer[11] (11) to 0x4257c.
7444000: system.cpu.[tid:0]: Reading integer reg integer[6] (6) as 0x1e1d8.
7525000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
7578000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xffffffffffffffff.
7580000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
7584000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xffffffffffffffff.
7586000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecf0.
7586000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffecd0.
7588000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
7588000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x4257c.
7592000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
7592000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x58.
7598000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x1e1f2.
7651000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
7651000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffec60.
7657000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7657000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7ffffffffffffed8.
7712000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7a000.
7714000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
7716000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0x7ffffffffffffee8.
7718000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7718000: system.cpu.[tid:0]: Reading integer reg integer[18] (18) as 0x7ffffffffffffee8.
7722000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7722000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x1e1f2.
7726000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7726000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x57.
7730000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7730000: system.cpu.[tid:0]: Reading integer reg integer[19] (19) as 0.
7734000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7734000: system.cpu.[tid:0]: Reading integer reg integer[20] (20) as 0.
7738000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7738000: system.cpu.[tid:0]: Reading integer reg integer[21] (21) as 0.
7742000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7742000: system.cpu.[tid:0]: Reading integer reg integer[22] (22) as 0.
7746000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7746000: system.cpu.[tid:0]: Reading integer reg integer[23] (23) as 0.
7750000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7750000: system.cpu.[tid:0]: Reading integer reg integer[24] (24) as 0.
7754000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7754000: system.cpu.[tid:0]: Reading integer reg integer[25] (25) as 0.
7809000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7809000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0.
7813000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
7813000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0.
7817000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7a000.
7817000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7a698.
7819000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
8125000: system.cpu.[tid:0]: Reading integer reg integer[4] (4) as 0x7e700.
8125000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7a698.
8129000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7ffffffffffffee8.
8133000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5b000.
8135000: system.cpu.[tid:0]: Setting integer register integer[20] (20) to 0.
8137000: system.cpu.[tid:0]: Setting integer register integer[21] (21) to 0x5b000.
8139000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5b000.
8139000: system.cpu.[tid:0]: Setting integer register integer[19] (19) to 0x5ac50.
8141000: system.cpu.[tid:0]: Setting integer register integer[22] (22) to 0x7a000.
8143000: system.cpu.[tid:0]: Setting integer register integer[26] (26) to 0x5c000.
8145000: system.cpu.[tid:0]: Setting integer register integer[25] (25) to 0x5c000.
8147000: system.cpu.[tid:0]: Setting integer register integer[24] (24) to 0x5c000.
8149000: system.cpu.[tid:0]: Setting integer register integer[23] (23) to 0x5c000.
8151000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7ffffffffffffee8.
8153000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0.
8155000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0.
8214000: system.cpu.[tid:0]: Reading integer reg integer[20] (20) as 0.
8281000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8283000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x1e1f2.
8285000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8287000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x57.
8289000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x1.
8293000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
8293000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
8297000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8299000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0x7ffffffffffffed8.
8301000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8303000: system.cpu.[tid:0]: Setting integer register integer[18] (18) to 0x7ffffffffffffee8.
8305000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8307000: system.cpu.[tid:0]: Setting integer register integer[19] (19) to 0.
8309000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8311000: system.cpu.[tid:0]: Setting integer register integer[20] (20) to 0.
8313000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8315000: system.cpu.[tid:0]: Setting integer register integer[21] (21) to 0.
8317000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8319000: system.cpu.[tid:0]: Setting integer register integer[22] (22) to 0.
8321000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8323000: system.cpu.[tid:0]: Setting integer register integer[23] (23) to 0.
8325000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8327000: system.cpu.[tid:0]: Setting integer register integer[24] (24) to 0.
8329000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8331000: system.cpu.[tid:0]: Setting integer register integer[25] (25) to 0.
8333000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8335000: system.cpu.[tid:0]: Setting integer register integer[26] (26) to 0.
8337000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8339000: system.cpu.[tid:0]: Setting integer register integer[27] (27) to 0.
8341000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffec60.
8341000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffecd0.
8343000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x1e1f2.
8345000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8347000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x58.
8349000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8351000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x4257c.
8353000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8353000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffecf0.
8359000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
8361000: system.cpu.[tid:0]: Setting integer register integer[6] (6) to 0.
8365000: system.cpu.[tid:0]: Reading integer reg integer[6] (6) as 0.
8367000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecf0.
8367000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffecd0.
8369000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8369000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x57.
8375000: system.cpu.[tid:0]: Reading integer reg integer[4] (4) as 0x7e700.
8377000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x7a698.
8379000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8379000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7ffffffffffffed8.
8383000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8383000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x4257c.
8387000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x58.
8387000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0x58.
8389000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8391000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8458000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
8460000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
8460000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
8462000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
8464000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1.
8468000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8470000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
8525000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
8533000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8533000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1.
8535000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0.
8537000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0.
8539000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
8539000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
8541000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
8543000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x58.
8543000: system.cpu.[tid:0]: Setting integer register integer[11] (11) to 0x58.
8545000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8545000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7a698.
8547000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x1d5d4.
8600000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffecd0.
8600000: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7fffffffffffebf0.
8606000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8606000: system.cpu.[tid:0]: Reading integer reg integer[1] (1) as 0x1d5d4.
8610000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8610000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x7a698.
8614000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8614000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x58.
8618000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8618000: system.cpu.[tid:0]: Reading integer reg integer[18] (18) as 0x7ffffffffffffee8.
8622000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8622000: system.cpu.[tid:0]: Reading integer reg integer[19] (19) as 0.
8626000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8626000: system.cpu.[tid:0]: Reading integer reg integer[20] (20) as 0.
8630000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8630000: system.cpu.[tid:0]: Reading integer reg integer[21] (21) as 0.
8634000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8634000: system.cpu.[tid:0]: Reading integer reg integer[22] (22) as 0.
8638000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8638000: system.cpu.[tid:0]: Reading integer reg integer[23] (23) as 0.
8642000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8642000: system.cpu.[tid:0]: Reading integer reg integer[24] (24) as 0.
8646000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8646000: system.cpu.[tid:0]: Reading integer reg integer[25] (25) as 0.
8650000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8650000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0.
8654000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8654000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0.
8658000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xffffffffffffffbf.
8660000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xffffffffffffffbf.
8660000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x58.
8662000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8662000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x58.
8733000: system.cpu.[tid:0]: Reading integer reg integer[11] (11) as 0x58.
8733000: system.cpu.[tid:0]: Setting integer register integer[17] (17) to 0x6f.
8735000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x1f.
8737000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7a698.
8737000: system.cpu.[tid:0]: Setting integer register integer[27] (27) to 0x7a698.
8741000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1f.
8741000: system.cpu.[tid:0]: Reading integer reg integer[17] (17) as 0x6f.
8745000: system.cpu.[tid:0]: Reading integer reg integer[17] (17) as 0x6f.
8745000: system.cpu.[tid:0]: Setting integer register integer[26] (26) to 0x60.
8749000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7a698.
8804000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
8806000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0.
8810000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0x60.
8810000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x6.
8814000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x6.
8814000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0x6.
8816000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8816000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x6.
8820000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0.
8820000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0x60.
8879000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x3ff.
8883000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x3ff.
8883000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0x60.
8936000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
8938000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x6.
8942000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x6.
8942000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xc.
8944000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xc.
8944000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xa.
8946000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xa.
8946000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xa00000000.
8948000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xa00000000.
8948000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xa.
9001000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xa.
9001000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x17.
9007000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x17.
9007000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xb8.
9009000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
9009000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x6.
9117000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xb8.
9117000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0x7a698.
9117000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a750.
9170000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9223000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0.
9227000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9227000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7a740.
9231000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7a740.
9231000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0.
9235000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0.
9288000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0x60.
9288000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
9294000: system.cpu.[tid:0]: Reading integer reg integer[26] (26) as 0x60.
9294000: system.cpu.[tid:0]: Setting integer register integer[8] (8) to 0x1.
9296000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0x7a698.
9296000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7a698.
9298000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
9298000: system.cpu.[tid:0]: Setting integer register integer[9] (9) to 0.
9300000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
9300000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
9304000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7fffffffffffebf0.
9304000: system.cpu.[tid:0]: Reading integer reg integer[8] (8) as 0x1.
9308000: system.cpu.[tid:0]: Setting integer register integer[1] (1) to 0x1c964.
9389000: system.cpu.[tid:0]: Reading integer reg integer[3] (3) as 0x7c0f0.
9391000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
9393000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
9499000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x1000.
9507000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7a698.
9507000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0x7a6f0.
9511000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x1000.
9511000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x848.
9513000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x7a6f0.
9513000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a6f0.
9515000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x848.
9515000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7a698.
9515000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x7aee0.
9517000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a6f0.
9517000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a6f0.
9600000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a6f0.
9600000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a6f0.
9604000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a6f0.
9604000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a700.
9606000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9606000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9608000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9608000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9612000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9612000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9616000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a700.
9616000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a710.
9618000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9618000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9620000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9620000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9624000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9624000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9628000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a710.
9628000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a720.
9630000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9630000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9632000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9632000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9636000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9636000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9640000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a720.
9640000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a730.
9642000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9642000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9644000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9644000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9648000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9648000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9652000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a730.
9652000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a740.
9654000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9654000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9656000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9656000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9660000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9660000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9664000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a740.
9664000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a750.
9666000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9666000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9668000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9668000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9672000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9672000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9676000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a750.
9676000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a760.
9678000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x7aee0.
9678000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9680000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9680000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9684000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9684000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9688000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x7a760.
9688000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x7a770.
